x,y,truth,table
0.41,,,phillip_reaction
0.44,,,phillip_reaction
0.48,,,phillip_reaction
0.46,,,phillip_reaction
0.43,,,phillip_reaction
0.35,,,sujan_reaction
0.38,,,sujan_reaction
0.42,,,sujan_reaction
0.40,,,sujan_reaction
0.31,,,sujan_reaction
0.41,,,joey_reaction
0.34,,,joey_reaction
0.36,,,joey_reaction
0.38,,,joey_reaction
0.37,,,joey_reaction
0.73,,,lamine_reaction
0.45,,,lamine_reaction
0.40,,,lamine_reaction
0.48,,,lamine_reaction
0.51,,,lamine_reaction
4.5,,,penny_rots
4.6,,,penny_rots
4.7,,,penny_rots
4.1,,,penny_rots
4.7,,,penny_rots
6.2,,5.7,penny_circumference
6.1,,5.7,penny_circumference
6.0,,5.7,penny_circumference
6.8,,5.7,penny_circumference
6.0,,5.7,penny_circumference
4.2,,,nickel_rots
4.3,,,nickel_rots
3.7,,,nickel_rots
4.2,,,nickel_rots
4.1,,,nickel_rots
6.7,,6.3,nickel_circumference
6.5,,6.3,nickel_circumference
7.6,,6.3,nickel_circumference
6.7,,6.3,nickel_circumference
6.8,,6.3,nickel_circumference
